idz,candidate,song,artist,sentiment,theme,album_release_date,line,url
69,Hillary Clinton,whatever you want,big sean,positive,money,2010,leading lady like hillary grabbing big bills,http://genius.com/big-sean-whatever-you-want-lyrics
70,Hillary Clinton,lollipop,lil wayne,neutral,personal,2008,"and when i'm at the bottom, she hillary rodham",http://genius.com/lil-wayne-lollipop-lyrics
71,Hillary Clinton,let's stay together,ludacris,negative,personal,2008,"hillary's still with bill clinton, how do they do it? / he got his dick sucked and the whole damn world knew it",http://genius.com/ludacris-lets-stay-together-lyrics
72,Hillary Clinton,politics as usual (obama is here),ludacris,negative,political,2008,hillary hated on you so that {censored} bitch is irrelevant,http://genius.com/ludacris-politics-as-usual-obama-is-here-lyrics
73,Hillary Clinton,the ghetto won't change,master p,negative,political,1996,"every dollar i make, ten go back to hillary and bill, i guess life is real",http://genius.com/master-p-the-ghetto-wont-change-lyrics
74,Hillary Clinton,bitch i'm bill clinton,lil b,positive,political,2010,"shout-outs to Hillary Clinton, you gonna win that presidency",http://genius.com/lil-b-bitch-im-bill-clinton-lyrics
75,Hillary Clinton,fuck the government,mediumjay,negative,political,2012,"fuck, the governments shit / fuck, Hillary Clinton that bitch",http://genius.com/mediumjay-fuck-the-government-lyrics
76,Hillary Clinton,cradle rock,method man,negative,political,1998,bad vibes filling me with thoughts of conspiracy / white water scandals with bill clinton/hillary,http://genius.com/method-man-cradle-rock-lyrics
77,Hillary Clinton,vietnam,mickey factz,neutral,political,2008,nothing against hilary clinton / but obama's about to be winning,http://genius.com/mickey-factz-vietnam-lyrics
78,Hillary Clinton,a thing for me,g-eazy,neutral,personal,2011,"liberally, accepting monicas but missing hillary",http://genius.com/g-eazy-a-thing-for-me-lyrics
79,Hillary Clinton,poizon windz,monsta island czars,neutral,NA,2003,"head essential lightning agency throats, thinkin of hilary clinton",http://genius.com/monsta-island-czars-poizon-windz-lyrics
80,Hillary Clinton,little this little that,naj murph,neutral,personal,2013,i need a hillary so let me know if you fit the bill; when we chill,http://genius.com/naj-murph-little-this-little-that-lyrics
81,Hillary Clinton,male feminist,mazeman,positive,political,2011,"hilary clinton, yeah she's winning",http://genius.com/mc-lars-male-feminist-lyrics
82,Hillary Clinton,shoot me a fair one,papoose,negative,political,2008,"more like obama versus hillary, nothing / a intelligent black man against a woman",http://genius.com/papoose-shoot-me-a-fair-one-lyrics
83,Hillary Clinton,krazy,pitbull,neutral,personal,2009,obama with no color / hillary with no bill,http://genius.com/pitbull-krazy-lyrics
84,Hillary Clinton,happy people,prince ital joe,negative,political,1993,mr. bill clinton and the bird hillary / wrap up the war on the brutality,http://genius.com/prince-ital-joe-happy-people-lyrics
85,Hillary Clinton,yzark,proof,neutral,personal,2004,while clinton got head i was in the sack with old hillary,http://genius.com/proof-yzark-lyrics
86,Hillary Clinton,psa,pryde,neutral,personal,2012,but they only like me for my bill like they're hillary,http://genius.com/pryde-psa-lyrics
87,Hillary Clinton,fall down brew,r.a. the rugged man,negative,NA,2008,"sewed Hillary Clinton's mouth, and that's after drinkin just one",http://genius.com/chief-chinchilla-aka-j-zone-fall-down-brew-lyrics
88,Hillary Clinton,smells like,r.a. the rugged man,neutral,sexual,2013,"Hillary Clinton can get her clit done with my big tounge / have the bitch strung, once me dick swung, her lip drip cum",http://genius.com/jarren-benton-smells-like-lyrics
89,Hillary Clinton,born to ball,skeme,positive,money,2012,but i'm all about my bills / grind stay hillary rodham,http://genius.com/skeme-born-to-ball-lyrics
90,Hillary Clinton,rnq,rhymefest,negative,political,2009,"hillary, jesse jack, even barack's involved / when police beatin' our ass, none of y'all do a damn thang",http://genius.com/rhymefest-rnq-lyrics
91,Hillary Clinton,timezone,saba,positive,personal,2014,y'all ain't near and dear to me like william and hillary,http://genius.com/saba-timezone-lyrics
92,Hillary Clinton,white girl (remix),rick ross,positive,NA,2007,"hilary clinton, she my best friend / even co-signed for that new white benz",http://genius.com/jeezy-white-girl-remix-lyrics
93,Hillary Clinton,now that i'm paid,rick ross,neutral,NA,2012,whip it in the kitchen before hillary became a clinton,http://genius.com/the-game-now-that-im-paid-lyrics
94,Hillary Clinton,life so hard,migos,positive,NA,2015,make a basic bitch feel like Hillary Clinton,http://genius.com/migos-life-so-hard-lyrics
95,Hillary Clinton,i'm me freestyle,"royce da 5'9""",neutral,NA,2008,"this industry is Hillary Clinton literally, listen / you ain't got no choice now",http://genius.com/royce-da-59-im-me-freestyle-lyrics
96,Hillary Clinton,back together,nicki minaj,positive,NA,2015,used to call me hillary cause i ride 'em,http://genius.com/robin-thicke-back-together-lyrics
98,Hillary Clinton,what the fuck is up?,scarlett,neutral,personal,1999,"wanna diss me, cuz i cut you down quickly / i'm hillary to this shit, you still fuckin with lewinsky",http://genius.com/nore-what-the-fuck-is-up-lyrics
99,Hillary Clinton,shit iz real,shyheim,neutral,money,1996,where ya at? cats sacking green/ bill/hill clinton,http://genius.com/shyheim-shit-iz-real-lyrics
100,Hillary Clinton,badman in tivoli,skepta,neutral,personal,2012,black bill clinton linking monica and hillary,http://genius.com/skepta-badman-in-tivoli-lyrics
101,Hillary Clinton,fresh,slick rick,neutral,personal,1998,babies jump out the carriage / could even fix the hillary and clinton marriage,http://genius.com/jermaine-dupri-fresh-lyrics
102,Hillary Clinton,sky lanterns,social club,neutral,NA,2015,hillary jane over hilary rodham,http://genius.com/social-club-sky-lanterns-lyrics
103,Hillary Clinton,gang love,t.h.u.g. angelz,negative,political,2008,it's like we paying them rent to live inside a prison / hilary clinton is benefiting them politicians,http://genius.com/thug-angelz-gang-love-lyrics
104,Hillary Clinton,nightmares of the bottom (triggamix),trey songz,negative,sexual,2011,she think she's my bottom bitch; hillary rodham-ish,http://genius.com/trey-songz-nightmares-of-the-bottom-triggamix-lyrics
105,Hillary Clinton,rich the goat,rich the kid,positive,political,2016,"hillary hit the dab, ima vote",http://genius.com/rich-the-kid-rich-the-goat-lyrics
106,Hillary Clinton,i shoulda tried harder,wax,neutral,personal,2013,"bill clinton, Hillary Clinton, i ain't talking to ya'll, nope",http://genius.com/wax-i-shoulda-tried-harder-lyrics
107,Hillary Clinton,girls got a gun,yo-yo,negative,personal,1993,fuck bill clinton and hillary,http://genius.com/yo-yo-girls-got-a-gun-lyrics
108,Hillary Clinton,for real,yung god,neutral,personal,2014,"bang, heavy artillery young bill clint / make your girl go hillary boy",http://genius.com/yung-god-for-real-lyrics
109,bernie sanders,valleys,lupe fiasco,positive,political,2015,"uh, bernie sanders need a nike deal",http://genius.com/lupe-fiasco-valleys-lyrics
110,bernie sanders,the ancap rap,young rippa,negative,political,2015,bernie sanders is an economic illiterate,http://genius.com/young-rippa-the-ancap-rap-lyrics
111,Donald Trump,johnny ryall,beastie boys,neutral,NA,1989,Donald Trump and donald tramp living in the men's shelter,http://genius.com/beastie-boys-johnny-ryall-lyrics
112,Donald Trump,protect ya neck ii the zoo,12 o'clock - brooklyn zu,positive,money,1995,"given the power punch, soon to be paid like Donald Trump",http://genius.com/ol-dirty-bastard-protect-ya-neck-ii-the-zoo-lyrics
113,Donald Trump,my word is bond,donald d,positive,NA,1989,"and after that me and Donald Trump hung out / donald talkin' 'bout Donald Trump,' man, y'all is crazy",http://genius.com/ice-t-my-word-is-bond-lyrics
114,Donald Trump,50/banks,50 cent,positive,money,2002,"we can talk trump talk, real estate, stocks, and bonds",http://genius.com/50-cent-50-banks-lyrics
115,Donald Trump,skill trade,nice,positive,money,1990,i'm not rich like Donald Trump,http://genius.com/nice-skill-trade-lyrics
116,Donald Trump,strip club luv,69 boyz,positive,money,1998,girl if your beauty was a dollar you'd be richer than trump,http://genius.com/69-boyz-strip-club-luv-lyrics
117,Donald Trump,no shots,7l & esoteric,positive,money,2010,it's like trump in your crib countin' money with you,http://genius.com/7l-no-shots-lyrics
118,Donald Trump,skypager,a tribe called quest,positive,money,1991,beeper's goin off like don trump gets checks,http://genius.com/a-tribe-called-quest-skypager-lyrics
119,Donald Trump,dolly and the rat trap,ultramagnetic mc's,neutral,money,1992,look at Donald Trump!,http://genius.com/ultramagnetic-mcs-dolly-and-the-rat-trap-lyrics
120,Donald Trump,the coup,the coup,negative,political,1993,"break yourself trump, it's collection day",http://genius.com/the-coup-the-coup-lyrics
121,Donald Trump,give it up fast,nas,positive,hotel,1996,i need a suite with the flowers complimentary at trump towers,http://genius.com/mobb-deep-give-it-up-fast-lyrics
122,Donald Trump,trailer,ace hood,positive,money,2013,"i'm trying to get richer than trump, a couple million for lunch",http://genius.com/ace-hood-trailer-lyrics
123,Donald Trump,the ebonic plague,ras kass,neutral,NA,1997,Donald Trump wouldn't let you shine his shoes my man,http://genius.com/cru-the-ebonic-plague-lyrics
124,Donald Trump,yeah yeah yeah,akala,positive,money,2006,"it amazes me, these rappers are so dumb / get they advance and think they trump",http://genius.com/akala-yeah-yeah-yeah-lyrics
125,Donald Trump,boughetto,ali,positive,money,2002,"trump money, but it's still the motel and kyjuan",http://genius.com/ali-boughetto-lyrics
126,Donald Trump,mafioso,kool g. rap,positive,hotel,1998,can't stop until i got a casa up in trump plaza,http://genius.com/kool-g-rap-mafioso-lyrics
127,Donald Trump,soldiers,master p,neutral,NA,1998,follow me dumpin' n----s study humpin' i ain't Donald Trump,http://genius.com/c-murder-soldiers-lyrics
128,Donald Trump,turn it into somethin',frost,positive,hotel,1999,real g's posted up at the trump towers,http://genius.com/frost-turn-it-into-somethin-lyrics
129,Donald Trump,fire,makeba mooncycle,neutral,NA,1999,playin Donald Trump for the mic with this,http://genius.com/royal-fam-fire-lyrics
130,Donald Trump,ba bump,black eyed peas,positive,money,2006,and if you got money fellas keep it like trump,http://genius.com/black-eyed-peas-ba-bump-lyrics
131,Donald Trump,open your mind,black the ripper,positive,money,2013,"who am i kidding, i'm try'na live lavish like trump",http://genius.com/black-the-ripper-open-your-mind-lyrics
132,Donald Trump,planewalker,bobby raps,positive,money,2015,i do more deals than Donald Trump does,http://genius.com/bobby-raps-planewalker-wuhuwahnmi2du-lyrics
133,Donald Trump,new world,nas,neutral,money,1999,the new don trump is bill gates,http://genius.com/nas-new-world-lyrics
134,Donald Trump,speed law,yasiin bey (mos def),positive,hotel,1999,rocked the trump tower to the terrordome,http://genius.com/yasiin-bey-speed-law-lyrics
135,Donald Trump,molly (remix),boston george,positive,money,2013,big money like Donald Trump,http://genius.com/boston-george-molly-remix-lyrics
136,Donald Trump,cloud aura,brooke candy,positive,personal,2013,"ivana and trump, shit, we coulda' ran the world",http://genius.com/charli-xcx-cloud-aura-lyrics
137,Donald Trump,hey papi,jay z,positive,hotel,2000,i went to 1 trump plaza on their asses,http://genius.com/jay-z-hey-papi-lyrics
138,Donald Trump,e.i.,nelly,positive,hotel,2000,get a room in trump towers just to hit the p hours,http://genius.com/nelly-ei-lyrics
139,Donald Trump,dipshits,cam'ron,positive,hotel,2014,"lookin' for me? top floor suite of the trump, baby",http://genius.com/camron-dipshits-lyrics
140,Donald Trump,soundscience,souls of mischief,neutral,personal,2000,they high drama like trump and ivana,http://genius.com/souls-of-mischief-soundscience-lyrics
141,Donald Trump,everywhere i go,tha eastsidaz,positive,hotel,2001,i got a room at the trump / later on we can slump,http://genius.com/tha-eastsidaz-everywhere-i-go-lyrics
142,Donald Trump,ghetto manifesto,the coup,neutral,NA,2001,met Donald Trump and he froze up,http://genius.com/the-coup-ghetto-manifesto-lyrics
143,Donald Trump,shorty,chingy,positive,money,2003,"i'm the young Donald Trump, is y'all hearin me?",http://genius.com/busta-rhymes-shorty-lyrics
144,Donald Trump,crazy,50 cent,positive,hotel,2002,now i'm paid - catch me in the trump tower lobby,http://genius.com/50-cent-crazy-lyrics
145,Donald Trump,wet! wet! wet!,princess superstar,neutral,hotel,2002,"wet in the elevator, trump tower or my lunch hour",http://genius.com/princess-superstar-wet-wet-wet-lyrics
146,Donald Trump,get paid,styles p,positive,hotel,2002,"tryin' to see my shit in the forbes, trump tower for 'self",http://genius.com/styles-p-get-paid-lyrics
147,Donald Trump,hustle harder,common,positive,hotel,2014,she know what n----s want she know how to make 'em hunt / hotel suite at the trump,http://genius.com/common-hustle-harder-lyrics
148,Donald Trump,john they're stealing,thirstin howl iii,neutral,money,2002,"sold to Donald Trump, for personal checks",http://genius.com/thirstin-howl-iii-john-theyre-stealing-lyrics
149,Donald Trump,motion,curren$y,positive,hotel,2012,car service brung me to the trump tower,http://genius.com/curren-y-motion-lyrics
150,Donald Trump,kick back music,cyhi the prynce,neutral,hotel,2013,that might get you staying a couple nights up at the trump,http://genius.com/cyhi-the-prynce-kick-back-music-lyrics
151,Donald Trump,skyscraper v,d.r.c,positive,money,2013,i'm trying to make it large trying to Donald Trump it,http://genius.com/drc-skyscraper-v-lyrics
152,Donald Trump,take it off part 2,busta rhymes,positive,hotel,2002,kennedy loft hoes mackin at the top of the trump towers,http://genius.com/busta-rhymes-take-it-off-part-2-lyrics
153,Donald Trump,jussummen,das efx,positive,money,1992,i went and break a slut like Donald Trump can break a million,http://genius.com/das-efx-jussummen-lyrics
154,Donald Trump,what more can i say,jay z,positive,hotel,2003,i'm at the trump international: ask for me i ain't never scared,http://genius.com/jay-z-what-more-can-i-say-lyrics
155,Donald Trump,nothing more,deda,positive,money,2003,"cause boom, you can be Donald Trump and shit",http://genius.com/pete-rock-nothing-more-lyrics
156,Donald Trump,tightanic,demark,positive,money,2014,we'll run the market like we be Donald Trump,http://genius.com/double-p-tightanic-lyrics
157,Donald Trump,feel the beat,ll cool j,positive,hotel,2004,spend a night in trump towers with a blue eyed blonde,http://genius.com/ll-cool-j-feel-the-beat-lyrics
158,Donald Trump,shyne,shyne,positive,hotel,2004,"and dick for you bitches, up in the trump tower",http://genius.com/shyne-shyne-lyrics
159,Donald Trump,right to bare arms,killah priest,negative,NA,2005,this one's for the cops and the war lord trump,http://genius.com/maccabeez-right-to-bare-arms-lyrics
160,Donald Trump,we gon' make it,diddy,positive,money,2006,"that bill gates, Donald Trump, bloomberg money",http://genius.com/puff-daddy-we-gon-make-it-lyrics
161,Donald Trump,good morning,cage,neutral,NA,2005,Donald Trump shotgun pumps illegal store fronts,http://genius.com/cage-good-morning-lyrics
162,Donald Trump,dumb,the high & mighty,negative,personal,2005,"i'm Donald Trump, with raccoon hair-dos",http://genius.com/the-high-and-mighty-dumb-lyrics
163,Donald Trump,i wish you would,chino xl,neutral,the apprentice,2005,music's my apprentice Donald Trump couldn't fire me,http://genius.com/sway-i-wish-you-would-lyrics
164,Donald Trump,money talks,double x posse,positive,money,1995,a bank account so fat that Donald Trump would wanna be me,http://genius.com/double-x-double-xx-posse-money-talks-lyrics
165,Donald Trump,i'm ballin' man,drama,positive,money,2000,more realer than rockafeller more cheese than Donald Trump,http://genius.com/dr-ama-im-ballin-lyrics
166,Donald Trump,shut up bitch,lil kim,positive,hotel,2005,"i'm in the trump international, 30 floors up (so high)",http://genius.com/lil-kim-shut-up-bitch-lyrics
167,Donald Trump,trump change,e-40,positive,money,1998,"trump change, i'm talkin Donald Trump change",http://genius.com/e-40-trump-change-lyrics
168,Donald Trump,heavy metal kings,jedi mind tricks,neutral,the apprentice,2006,"i'm like trump in the apprentice, only fire at night",http://genius.com/jedi-mind-tricks-heavy-metal-kings-lyrics
169,Donald Trump,the n,nas,neutral,personal,2006,the apprentice but not trump,http://genius.com/nas-the-n-lyrics
170,Donald Trump,buy u some 2,erick sermon,positive,money,2006,"no need to talk about the reeiches, i mean trump punk",http://genius.com/too-short-buy-u-some-2-lyrics
171,Donald Trump,favorite drug,styles p,positive,hotel,2006,"got a blunt blaze it up, we can get a room in the trump",http://genius.com/styles-p-favorite-drug-lyrics
172,Donald Trump,mo cars mo hoes,fabolous,positive,money,2008,"they know i'm hood rich, Donald Trump of the pumpers",http://genius.com/fabolous-mo-cars-mo-hoes-lyrics
173,Donald Trump,so what,far east movement,positive,money,2010,hundred dollar bills stacked higher than the trump,http://genius.com/far-east-movement-so-what-lyrics
174,Donald Trump,lie-z,fat boys,positive,money,1989,"boy, i got money like Donald Trump!",http://genius.com/fat-boys-lie-z-lyrics
175,Donald Trump,jealousy,fat joe,positive,money,2006,we fuckin with Donald Trump now,http://genius.com/fat-joe-jealousy-lyrics
176,Donald Trump,kick it like that,styles p,positive,hotel,2006,"i'm at the double-oh suites of trump, for at least a month",http://genius.com/styles-p-kick-it-like-that-lyrics
177,Donald Trump,playas only,the game,neutral,hotel,2006,bet she ain't never seen the penthouse at the trump,http://genius.com/the-game-playas-only-lyrics
178,Donald Trump,the morning news,chamillionaire,neutral,NA,2007,rosie o'donnell and Donald Trump stay arguin' about nonsense,http://genius.com/chamillionaire-the-morning-news-lyrics
179,Donald Trump,blow ya mind remix,jadakiss,positive,hotel,2007,"pump haze, blow sour, top floor of the trump towers",http://genius.com/styles-p-blow-ya-mind-remix-lyrics
180,Donald Trump,invisible man,joe budden,positive,hotel,2007,"one's national, trump international, rational",http://genius.com/joe-budden-invisible-man-lyrics
181,Donald Trump,my drink n my 2 step (remix),kanye west,neutral,the apprentice,2007,"we fired motherfuckers, Donald Trump n----",http://genius.com/cassidy-my-drink-n-my-2-step-remix-lyrics
182,Donald Trump,midgets and giants,sage francis,neutral,the apprentice,2007,"fuck an apprentice, i've got more firepower than Donald Trump",http://genius.com/sage-francis-midgets-and-giants-lyrics
183,Donald Trump,we made our own,future,positive,money,2013,"i'm john gotti paid, now i'm going Donald Trump",http://genius.com/future-we-made-our-own-lyrics
184,Donald Trump,suicide,fabolous,positive,hotel,2008,"it's loso, a.k.a the 1 trump plaza suite creeper",http://genius.com/fabolous-suicide-lyrics
185,Donald Trump,mo cars mo hoes,freck billionaire,positive,hotel,2008,"trump tower, you ain't got the same room as me",http://genius.com/fabolous-mo-cars-mo-hoes-lyrics
186,Donald Trump,love don't cost a thing (neptunes remix),ghostface killah,positive,money,2012,"big lobster dishes wit trump, this how come i feel for you",http://genius.com/jennifer-lopez-love-dont-cost-a-thing-neptunes-remix-lyrics
187,Donald Trump,truth,god,positive,money,2014,"tryna add a couple more zeroes, Donald Trump is my hero",http://genius.com/god-truth-lyrics
188,Donald Trump,song for the ville,j.cole,neutral,money,2010,"bill gates, Donald Trump, motherfucker let me in",http://genius.com/j-cole-song-for-the-ville-lyrics
189,Donald Trump,don't trip,petey pablo,neutral,NA,2009,i done been with Donald Trump and you help bitches,http://genius.com/petey-pablo-dont-trip-lyrics
190,Donald Trump,loose,spank rock,positive,hotel,2008,"ain't that what you want, a hilton ain't a trump",http://genius.com/spank-rock-loose-lyrics
191,Donald Trump,how we rock,termanology,neutral,money,2008,i copped enough coke and guns to open trump,http://genius.com/termanology-how-we-rock-lyrics
192,Donald Trump,pimp slap,tyler the creator,neutral,personal,2008,with my Donald Trump hair piece you're an apprentice,http://genius.com/left-brain-pimp-slap-lyrics
193,Donald Trump,i gotta say what up!!!,ice cube,positive,money,1990,cause he makin' more than Donald Trump,http://genius.com/ice-cube-i-gotta-say-what-up-lyrics
194,Donald Trump,three strikes you in,ice cube,positive,money,1998,i'm just tryin' to get rich like trump,http://genius.com/ice-cube-three-strikes-you-in-lyrics
195,Donald Trump,folklore,dumbtron,negative,political,2009,alarming heat at the heels of a punk politician / trump tall tales with a bump full of bomb fission,http://genius.com/mr-lif-folklore-lyrics
196,Donald Trump,put ya in da game,fat joe,positive,hotel,2009,"i took her out of the 'jects, the top floor of the trump",http://genius.com/fat-joe-put-ya-in-da-game-lyrics
197,Donald Trump,daze,ja-bar,positive,money,2010,"the Donald Trump money, a pow way is stuntin' and problems keep on comin'",http://genius.com/ja-bar-daze-lyrics
198,Donald Trump,i'm ballin,rick ross,neutral,money,2009,proceeds 'till we perceive the stunt like Donald Trump,http://genius.com/j-money-im-ballin-lyrics
199,Donald Trump,so appalled,kanye west,neutral,money,2010,"balding, Donald Trump taking dollars from y'all",http://genius.com/kanye-west-so-appalled-lyrics
200,Donald Trump,independent,kxng crooked,positive,hotel,2010,"we fuck a couple hoes, am i sweet at the trump?",http://genius.com/crooked-i-independent-lyrics
201,Donald Trump,blue flame remix,lil b,neutral,the apprentice,2010,"call me Donald Trump how i fire losers / how Donald Trump fire workers, i fire rugers",http://genius.com/lil-b-blue-flame-remix-lyrics
202,Donald Trump,success,jay z,positive,hotel,2007,i got watches i ain't seen in months / apartment at the trump; i only slept in once,http://genius.com/jay-z-success-lyrics
203,Donald Trump,zoom zooms and wam wam,jay-o-felony,positive,personal,1995,"i wanna be like Donald Trump, not willie lump-lump",http://genius.com/jay-o-felony-zoom-zooms-and-wam-wam-lyrics
204,Donald Trump,street 2 street,jay-o-felony,positive,money,1997,smokin the hump with dreams of livin lavish like Donald Trump,http://genius.com/jay-o-felony-street-2-street-lyrics
205,Donald Trump,still get it in ohio,machine gun kelly,neutral,NA,2010,and they call me Donald Trump mr. o-h-i-o took your misses / and now you just mr. i-hate-my-ho (lame),http://genius.com/machine-gun-kelly-still-get-it-in-ohio-lyrics
